date,account_id,decision,buy_count,sell_count,trade_count,symbols,reasons,cash_krw,holdings_value_krw,equity_krw,contributed_capital_krw,net_profit_krw,open_positions
2021-11-05,benchmark_kodex200,hold,0,0,0,,,19477.0492,18912575.0,18932052.0492,20000000.0,-1067947.9508,1
2021-11-05,benchmark_qqq,hold,0,0,0,,,422838.8972,25524278.6969,25947117.5942,20000000.0,5947117.5942,1
2021-11-05,benchmark_spy,hold,0,0,0,,,412974.3918,25001860.8538,25414835.2456,20000000.0,5414835.2456,1
2021-11-05,smic_follower,hold,0,0,0,,,4550.1644,22373561.1998,22378111.3642,20000000.0,2378111.3642,15
2021-11-05,smic_follower_v2,hold,0,0,0,,,2374.6896,20307463.5729,20309838.2624,20000000.0,309838.2624,13
2021-11-08,all_weather,hold,0,0,0,,,340795.1949,22059774.4667,22400569.6616,20000000.0,2400569.6616,4
2021-11-08,benchmark_gld,hold,0,0,0,,,160389.617,20524054.5825,20684444.1995,20000000.0,684444.1995,1
2021-11-08,benchmark_kodex200,hold,0,0,0,,,19481.0486,18888325.0,18907806.0486,20000000.0,-1092193.9514,1
2021-11-08,benchmark_qqq,hold,0,0,0,,,422925.7225,25375130.6644,25798056.3868,20000000.0,5798056.3868,1
2021-11-08,benchmark_spy,hold,0,0,0,,,413059.1915,24910733.5359,25323792.7274,20000000.0,5323792.7274,1
2021-11-08,smic_follower,hold,0,0,0,,,4551.0988,22601546.3182,22606097.417,20000000.0,2606097.417,15
2021-11-08,smic_follower_v2,hold,0,0,0,,,2375.1772,20642739.4439,20645114.6211,20000000.0,645114.6211,13
2021-11-09,all_weather,hold,0,0,0,,,340818.5211,22315297.795,22656116.3161,20000000.0,2656116.3161,4
2021-11-09,benchmark_gld,hold,0,0,0,,,160400.595,20963448.9012,21123849.4962,20000000.0,1123849.4962,1
2021-11-09,benchmark_kodex200,hold,0,0,0,,,19482.382,18936825.0,18956307.382,20000000.0,-1043692.618,1
2021-11-09,benchmark_qqq,hold,0,0,0,,,422954.6701,25613747.5426,26036702.2128,20000000.0,6036702.2128,1
2021-11-09,benchmark_spy,hold,0,0,0,,,413087.4638,25235575.4616,25648662.9254,20000000.0,5648662.9254,1
2021-11-09,smic_follower,hold,0,0,0,,,4551.4103,22617627.8213,22622179.2316,20000000.0,2622179.2316,15
2021-11-09,smic_follower_v2,hold,0,0,0,,,2375.3398,20608523.7901,20610899.1299,20000000.0,610899.1299,13
2021-11-10,all_weather,hold,0,0,0,,,340841.8488,21875973.0614,22216814.9103,20000000.0,2216814.9103,4
2021-11-10,benchmark_gld,hold,0,0,0,,,160411.5739,20796180.0169,20956591.5908,20000000.0,956591.5908,1
2021-11-10,benchmark_kodex200,hold,0,0,0,,,19483.7155,18735550.0,18755033.7155,20000000.0,-1244966.2845,1
2021-11-10,benchmark_qqq,hold,0,0,0,,,422983.6198,24766993.9709,25189977.5908,20000000.0,5189977.5908,1
2021-11-10,benchmark_spy,hold,0,0,0,,,413115.7381,24566064.4913,24979180.2294,20000000.0,4979180.2294,1
